Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If the Billing Provider Second Address (2010AA N302) is present, and if the Billing Provider Address (2010AA N301)contains characters other than ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,24,44%,0x3938B78
"If the Billing Provider Service City (2010AA N401) is not present, the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,25,47%,0x3938B78
"If the Billing Provider State (2010AA N402) is not present, the claim will reject.
If the Billing Provider State (2010AA N402) is not a valid State the claim will reject. ",Segment PRV (Billing Provider Specialty Information) is used. It cannot be used when every claim has one of the following loops - 2310B or 2310D.,26,53%,0x3938B81
"The Billing Provider Zip Code (2010AA N403) must be present and 9 numeric (0-9) digits.
If the Billing Provider Zip Code (2010AA N403) contains an invalid Zip Code for the Billing Provider state provided (2010AA N402), the claim will reject.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",27,38%,0x3938B30
"If the Billing Tax Type field (2010AA REF01) is not present, the claim will reject.
If the Billing Tax Type field (2010AA REF01) contains a value other than EI or SY, the claim will reject.",Value of element DTM02 (Claim Received Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,28,35%,0x3939388
"If the Billing Tax Id Type (2010AA REF01) is present, the Billing Tax ID (2010AA REF02) must be present or the claim will reject. 
If this is a dakota claim and the LOB is MediPak Advantage, the Billing Tax Id (2010AA REF02) will not reject.
If the Billing Tax Id Type (2010AA REF01) is present, and this is a Medicare claim, and the Billing Tax Id Qualifier (2010AA REF01) is ""EI"", the Billing Tax ID must be 9 digits in this format: '999999999' '99-9999999' '99 9999999', or the claim will reject.",Segment REF (Billing Provider UPIN/License Information) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error wa,29,47%,0x3938B78
"If this is a Dakota claim, and the LOB is not MPA, the claim will not reject.
If present, the Billing Provider Second ID Type Qualifier (2010AA REF01) must Be 0B or 1G.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,30,50%,0x3938B78
"If this is a Dakota claim, and the LOB is not MPA, the claim will not reject.",Segment PER (Service Facility Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was d,31,59%,0x3938B52
"If the Provider Contact Name (2010AA PER02) is present, the Provider Contact Qual (2010AA PER03) is required, cannot exceed 60 characters, and cannot be the same as the Submitter Contact Name (1000A PER02).  
The Provider Contact Name cannot contain characters other than ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"".
Only the First Provider Contact Name (2010AA PER02) is allowed.",Segment PER (Billing Provider Contact Information) is used. It is not expected to be used when it provides the same information as segment PER in loop 1000A. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was ,32,39%,0x3938B79
"If the Provider Contact Name (2010AA PER02) is present, the following edits are active:
1. The Contact Number Qualifier (2010AA PER03) must be present or the claim will reject.
2. The Contact Number (2010AA PER04) must be present or the claim will reject.
3. If the Contact Number Qualifier (2010AA PER03) does not contain either EM, TE, or FX, the claim will reject.",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},33,42%,0x3938B52
"If the Billing Provider Contact Number (2010AA PER04) is present, and the Billing Provider Contact 1 Qualifier is ""TE"" or ""FX"", and if the Billing Provider Contact Number (2010AA PER04) is not numeric and ten digits in length, the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,34,52%,0x3938B78
"If the Contact Qualifier (2010AA PER05) is present, the Contact Number (2010AA PER06) is required.
If the Contact Number (2010AA PER06) is present, the Contact Number Qualifier (2010AA PER05) is required.
If the Contact Qualifier (2010AA PER05) is present, and it doesn’t contain TE,EX,EM, or FX, the claim will reject.
If the Contact Qualifier (2010AA PER05) is present and contains “EX” (telephone extension), the previous number must be a telephone or the claim will reject.",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},35,47%,0x3938B52
"If the Billing Provider Contact Number (2010AA PER04) is present, and the Billing Provider Contact 1 Qualifier is ""TE"" or ""FX"", and if the Billing Provider Contact Number (2010AA PER04) is not numeric and ten digits in length, the claim will reject.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,36,52%,0x3938B78
"If the Contact Qualifier (2010AA PER07) is present, the Contact Number (2010AA PER08) is required.
If the Contact Number (2010AA PER08) is present, the Contact Number Qualifier (2010AA PER07) is required.
If the Contact Qualifier (2010AA PER07) is present, and it doesn’t contain TE,EX,EM, or FX, the claim will reject.
If the Contact Qualifier (2010AA PER07) is present and contains “EX” (telephone extension), the previous number must be a telephone or the claim will reject.",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},37,47%,0x3938B52
"If the communication number (2010AA PER08) is present, and the Comm number qual (2010AA PER07)contains ""TE"", ""FX"", or ""EX"" and this field is not alphanumeric or does not contain 10 digits in length, the claim will reject.
If the Communication contact number qualifier (2010AA PER07) contains ""EX"", the communication number (2010AA PER08) must contain AlphaNumeric values or the claim will reject.
If the the communication number (2010AA PER08) contains more than 256 characters, the claim will reject.",Segment PER (Service Facility Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was d,38,39%,0x3938B52
"If Pay To Provider Entity Type(2010AB NM102) is present, must be 1 or 2.",Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,39,50%,0x3939460
"If Pay To Provider Loop (2010AB) is present, Pay To Provider Address(2010AB N301) line 1 is required. If Address Line 1 is present, it must be valid characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"") and length must be less than 55.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,40,47%,0x3938B78
"If Pay To Address Line 2(2010AB N302) is present, it must be valid characters (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"") and length must be less than 55.",Segment REF (Pay-To Plan Secondary Identification) is used. It should not be used after National PlanID is mandated for use. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Coun,41,38%,0x3938B7A
"If Pay To Provider Loop (2010AB)is present, then Pay To City (2010AB N401) is required. Pay To City must be at least 2 chars long, no longer than 30, and valid chars (BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"")",Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,42,37%,0x3939460
"If Pay To Provider Loop (2010AB) is present, then the Pay To Provider State (2010AB N402) is present and must be valid.",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,43,50%,0x3938B78
"When PayTo Provider Zip Code (2010AB N403) present, but does not match up with the PayTo Provider State (2010AB N402) field, ""Invalid Zip Code"" is displayed. When PayTo Provider Zip Code has invalid characters (other than A-Z and 0-9), ""Contains Invalid Character(s)"" is displayed.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",44,32%,0x3938B30
"If this field is not present, then ""Payer Responsibility Sequence Code required"" will be displayed.
If this field does not equal A,B,P,S, or T then ""Payer Responsibility Sequence Code must = (A,B,P,S,T)"" will be displayed. ",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'BE' for this transaction type. ,45,40%,0x3939440
"If Medicare is Secondary, one and only one Payer Amount Paid is allowed or the claim will reject.
Subscriber Information Responsibility (2000B/C SBR01) is required, must be “P” or “S”. If Responsibility value is ""S"" there must be at least one 2320 SBR01 with a value of “P”.",Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,46,40%,0x3939460
"This edit does not apply to paper claims or VA/Dept of Defense claims (submitter id: X0020,E0386,E0450,E0161,E0727,E0728,E2182,E4454,E6014,E5894,E1842).","Provider balancing is failed for this loop 2000. The total claims charge amount  (TS305) '[%ec_ClaimAmount1]' does not equal the sum of claim charge amounts
(CLP03) '[%ec_ClaimAmount2]'.",47,50%,0x3938ED8
2320 / SBR01 and 2000B / SBR01 cannot have the same value,Value of element SBR01 is incorrect. Primary payer is not specified (elements SBR01 in loops 2000B/2320 do not have 'P' value). It is expected to be used when other payers are known to be involved. Segment [dpe.rec.gdl.id] is defined in the guideline at p,48,75%,0x3939460
"If this field is not present, then ""Patient Relationship Required"" will be displayed.
If this field is not equal to ""18"", then""Patient Relationship Field Must Equal 18 (Patient is Self)"" will be displayed.",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'BE' for this transaction type. ,49,34%,0x3939440
"Patient Relationship Code (2000B SBR02 or 2000C PAT01) Required and Must Be Valid Value: 01,18,19,20,21,39,40,53,G8",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,50,33%,0x3939663
"Patient Relationship Code (2000B/C SBR02) Must equal 01,18,19,20,21,39,40,53,G8
2011115007 - 04/28/2011 - slc - new IG Edit for Commercial.
",Value of element CL102 is incorrect. Expected value is from external code list - APoint of Origin for Admission or Visit Code (230) for Newborn.,51,39%,0x393931D
"Subscriber Group Number (2000B SBR03) must not be present if Group Name(2000B SBR04) is Present, max length 50, Must Not Equal Subscriber Member Id (2010BA NM109), and must be Valid Chars ( BIG_CHARS_LIST ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"")",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},52,31%,0x3938B52
"Subscriber Group Name (2000B SBR04) if present, must be max length 60, and must be Valid Chars (BIG_CHARS_LIST  ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"")",Segment REF (Payee Additional Identification) is missing. TIN must be carried in this REF segment when N103 is 'TJ'.,53,29%,0x3938BD4
"If Subscriber Insurance Responsibility Sequence (2000B SBR01) is ""S"" (Secondary), then Insurance Type Code (2000B SBR05) is required and must be valid value (12,13,14,15,16,41,42,43,47); ",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,54,36%,0x3939663
"The Insurance Type Code (2000B SBR05) is not allowed unless the destination payer is Medicare.
2015141010 - rmt - 11/23/2015 - removed MPA ","Value of element CL103 is incorrect. It looks like a local code from code list 239 -
Patient Status. It's not allowed to use local codes after compliance date under the
HIPAA rules.",55,48%,0x393934D
"The Source of Pay Code is required on ALL Claims.
If Medicare claim, the Source of Pay Code must be MB.
If Access Only, the Source of Pay code must be BL.
For Medipak Advantage claims, the Claim Filing Indicator Source of Pay must be BL ,HM ,FI, CI, MA, or MC.",Segment REF (Other Payer Prior Authorization Number) is used. It should not be used when claim is being submitted for Predetermination of Benefits (CLM19='PB').,56,39%,0x3938B59
Patient Death Date must be a valid date.,Value of element PAT06 (Patient Death Date]) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}T,57,75%,0x3939388
Patient Weight (2000B PAT08) must not be present.,Element CL101 is used. It is not expected to be used when claim is not inpatient.,58,38%,0x3939313
"If present, the Pregnancy Indicator must = ""Y"". Otherwise, an error message will be displayed.",Value of element REF02 (Pay-To Plan Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits') when REF01='EI'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,59,40%,0x393938C
"When present, the value contained in this field must equal ""1"". Otherwise, an error message will be displayed.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Value '[dpe.dat.vl]' can be used only when the member's age is between 19 and 25. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected,60,44%,0x3939439
Subscriber Entity Type Qualifier field must be present and equal to 1 or 2.,Segment DTP (Subscriber Date) is missing with DTP01 as '346' or '291'. It is required to represent Plan Dates when individual has active coverage.,61,43%,0x3938B04
"Subscriber Last Name (2010BA NM103) is required, it must be no longer than 60 chars in length and must contain valid characters (VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"").",Recommended length of CLM01 element value is not more than 20 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab}Element Count: [dpe,62,28%,0x3939451
"Field Is Required
Must Be Left Justified
Cannot Be UNKNOWN
First Character Must Be A-Z",Value of element N104 is incorrect. Expected value is from external code list - D-U-N-S Number with Four Character Suffix (16) when N103='9'.,63,42%,0x3939326
"Subscriber First Name (2010BA NM104) must be 35 chars or less in length and must contain valid characters (VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'""). First Name (2010BA NM104), Middle Name (2010BA NM105), Suffix (2010BA NM107) Not Allowed when Qualifier is 2-Organization.","Segment NM1 (Other Subscriber Name) is used. It should not be used when segment NM1
(CORRECTED PRIORITY PAYER NAME) is not used.",64,24%,0x3938B52
"When Subscriber First Name is present, it must be left-justified, and first character must be A-Z.",Segment DTP (Date - Property and Casualty Date of First Contact) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}Th,65,50%,0x3938B52
"If Subscriber Middle Name (2010BA NM105) present, max length 25 chars, must be Valid Chars (VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"")
If this claim is Medicare or MediPak Advantage, and the Subscriber Middle name (2010BA NM105) is present and contains a non-alpha character in first position, the claim will reject.",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},66,30%,0x3938B52
"If Subscriber Suffix (2010BA NM107) present, max length 10 chars, must be Valid Chars (VALID_NAME_CHARS_SHT ""A-Z,'-',' ','.'"")",Segment REF (Payee Additional Identification) is missing. TIN must be carried in this REF segment when N103 is 'TJ'.,67,24%,0x3938BD4
"Subscriber Primary ID Qualifier (2010BA NM108) is required and must contain a valid value of MI or II.  For MPA and MCAR only valid value is ""MI"".",Value of element N103 is incorrect. Expected value is 'FI' for HIPAA Health Premium Payments when National PlanID is not mandated for use.,68,46%,0x3939397
"If the length of the Member ID is greater than 17, the claim will error.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date or start period date should be a date earlier than the Claim Adjudication date specified in loop 2330B ('[emp.ec_ExpDate]'). Segment [dpe.rec.gdl.id] is defined in the guid,69,60%,0x3939453
If Subscriber ID (2010BA NM104)is Required.,Segment REF (Subscriber Additional Identification) is used. It is not expected to be used when for Primary or Required Alternate Search Options.,70,50%,0x3938B85
"Subscriber ID (2010BA NM109) Required, must be Left Justified, only contain Characters ""A-Z,0-9,'-'"", First 25 Characters Cannot be: 9999999999999999999999999 or 0000000000000000000000000, and Cannot be: ""UNKNOWN"" ""123456789"" ""INDIVIDUAL"" ""NONE"" ""SELF"" ""1234567890""",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Value '[dpe.dat.vl]' can be used only when the member's age is between 19 and 25. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected,71,20%,0x3939439
