Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If present, Taxonomy Code (2000A PRV03) must be a valid code on the Statement Date. Statement Date range is derived from the earliest Service Date (2400 DTP03) to the latest Service Date on the claim.
If 2000A loop is present, Taxonomy Code is required.

2010316003-11/22/2010-RMP-created for MCAR/MPA
2011115007 - 04/28/2011 - slc - added COMM and ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. The value seems to be a local code from external code list 130 - HCPCS, Level III. According to HIPAA regulations, local codes should not be used after compliance date. Segment [dpe.rec.gdl.id] i",11,41%,0x393934B
"If present, must be a 1 or 2 or error message ""Entity Type Qualifier Must Be 1 Or 2"" will display.

01/12/2009-DMC-Created per Protrac 2008296010.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element PS101 is incorrect. It must match corresponding Purchased Service Provider Identifier in REF02 or NM109 in 2420B loop. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{b,12,44%,0x3939421
"The LOB required ref segment qualifier can only be present 1 time in the 2010AA Billing Provider Loop.

Error if the 2010AA Ref02 Billing Provider Number for the required ref segment qualifier is all 0's.

Error if either the 2010AA Billing Provider Ref Segment Qualifier or Number are missing when the other is present.

Error out any Required Fields that are Missing Data.

For Dakota claims, Please Refile Claim with correct provider number or thru your local blue cross plan.
For Dakota AO, do not validate if Provider number is missing.

Billing Last Name/Org Name cannot contain invalid characters.
2010316003-11/23/2010-DMC-Removed Medicare and MediPak from edit.



2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,13,50%,0x3938B78
"If the Billing Provider last name (or organization name) (2010AA NM103) is not present, the claim will reject.
If the Billing Provider last name (or organization name) (2010AA NM103) contains invalid characters, or is longer in length than 60 characters, the claim will reject.

2010326002-11/30/2010-DMC-Revised per Medicare 5010 conversion.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Loop 2420D (Ordering Provider Name) is used. It should not be used when loop 2010AA is used with the same information. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.d,14,32%,0x3938C72
"If the Billing Provider first name (or organization name) (2010AA NM104) contains invalid characters, or is longer in length than 35 characters, the claim will reject.

2010326002-11/30/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment N3 (Ordering Provider Address) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],15,26%,0x3938AFE
"If the Billing Provider Type field (2010AA NM102) contains ""2"" (non-person entity), and the Billing Provider Middle name (2010AA NM105) is present, the claim will reject.
If the Billing Provider Middle name (2010AA NM105) is present, and contains invalid characters, the claim will reject.
If the Billing Provider Middle name (2010AA NM105) is present, and contains more than 25 characters, the claim will reject.
If this is a Medicare or MediPak Advantage claim, and the Billing Provider Middle name (2010AA NM105) is present and contains a non-alpha character in first position, the claim will reject.


2010326002-11/30/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM.
2013064014 - 03/08/2013 - dmc - added alpha required as first character.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PRV (Billing Provider Specialty Information) is missing. It is required when loops 2310B and 2310D are not used in at least one claim.,16,33%,0x3938B31
"If the Billing Provider Type field (2010AA NM102) contains ""2"" (non-person entity), and the Billing Provider Suffix (2010AA NM107) is present, the claim will reject.
If the Billing Provider Suffix (2010AA NM107) is present, and contains invalid characters, the claim will reject.
If the Billing Provider Suffix (2010AA NM107) is present, and contains more than 10 characters, the claim will reject.

2010326002-11/30/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PRV (Billing Provider Specialty Information) is missing. It is required when loops 2310B and 2310D are not used in at least one claim.,17,35%,0x3938B31
"Providers who ""opt-out"" of the Medicare program cannot receive payment for services rendered to Medi-Pak Advantage members.

2016314030 - rmt - 12/1/2016 - implementation",Value of element DTM02 (Claim Received Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,18,25%,0x3939388
2017086051 - rmt - 04/20/2017 - AHIN will no longer process Medi-Pak Advantage claims with date of service prior to 1/1/2016. ,Value of element DTP03 is incorrect. Segment DTP (Date - Onset of Current Illness or Symptom) should not be used with the same value as in segment DTP (Date - Service Date). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq],19,43%,0x393941D
"If BA is payer and it's a paper claim, do not edit
if payto_prvtype (flag from SP) is 'F' (facility) && payto_type_cd (flag from SP) is 'H' (hospital), 'A' (ambulatory surgery), or 'T' (home infusion) then the claim will error because Professional services cannot be submitted with a hospital/facility payto/billing NPI

2010246026 - 9/16/10 - fmb - updated documentation.
2010267008 - 10/14/10 - fmb - added BCBS
2010267009 - 10/14/10 - fmb - added ITS
2010320016 - 11/16/10 - fmb - added functionality to exclude BA paper claims from edit
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,20,25%,0x3938B7B
"RN First Assistant specialty is not accepted.

2013213014 - 9/12/2013 - rmt -  reject claims with provider specialties of RN First Assistant",Element NM105 is used. It is not expected to be used when for Primary or Required Alternate Search Options.,21,43%,0x3939316
"Licensed Professional Counselors and Licensed Professional Examiners are not eligible to treat Medicare/MPA members.

2016314031 - rmt - 1/1/2017 - implementation",Value of element DTP01 is incorrect. Value '349' may not be used when DTP01 in loop 2000 is '357' (termination dates are not to be sent at both the HD and the INS levels for a particular occurrence of loop 2000).,22,29%,0x3939452
"Billing Provider Address (2010AA N301) is required.  Billing Provider Address (2010AA N301) must contain valid characters and cannot exceed 55 characters in length.  Billing Provider Address (2010AA N301) cannot contain a Post Office box address.

2010316003-11/22/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM.
2011343015 - 12/13/2011 - CLM - applied PO Box logic to Medicaid and Commercial and updated documentation.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2016026035 - 02/04/2016 - rmt - added more po box exclusions",Segment PRV (Billing Provider Specialty Information) is used. It cannot be used when every claim has one of the following loops - 2310B or 2310D.,23,31%,0x3938B81
"If the Billing Provider Second Address (2010AA N302) is present, and if the Billing Provider Address (2010AA N301)contains characters other than ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", the claim will reject.

If the Billing Provider Second Address (2010AA N302) is present, and it contains a Post Office box address, the claim will reject.

If the Billing Provider Second Address (2010AA N302) is present, and it contains more than 55 characters in length, the claim will reject.

2010316003-11/22/2010-DMC-Created per Medicare 5010 conversion.
2012009032 - 01/10/2012 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2016026035 - 02/04/2016 - rmt - added more po box exclusions",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,24,38%,0x3938B78
"If the Billing Provider Service City (2010AA N401) is not present, the claim will reject.

If this is a Medicare or MediPak Advantage claim:
If the Billing Provider Service City (2010AA N401) contains characters other than 
""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"", the claim will reject.
If the Billing Provider Service City (2010AA N401) contains more than 30 or less than 2 characters in length, the claim will reject.

04/07/2008-CLM-2008088017 - Added Medicaid.
07/09/2008-RMP-2008178016 - REMOVE ELSE LOGIC REQUIRING THE FIELD, THIS LOGIC ALREADY EXIST IN EDIT 325
2010316003-11/23/2010-DMC-Revised edit per Medicare 5010p requirements.
2011115007 - 04/28/2011 - slc - add COMM.


2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').",25,38%,0x3938AFE
"If the Billing Provider State (2010AA N402) is not present, the claim will reject.
If the Billing Provider State (2010AA N402) is not a valid State the claim will reject. 

2010316003-22/23/2010-DMC-Revised per Medicare 5010 effort.
2011115007 - 04/28/2011 - slc - add COMM.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').",26,44%,0x3938AFE
"The Billing Provider Zip Code (2010AA N403) must be present and 9 numeric (0-9) digits.
If the Billing Provider Zip Code (2010AA N403) contains an invalid Zip Code for the Billing Provider state provided (2010AA N402), the claim will reject.

2010316003-11/23/2010-DMC-Revised per Medicare 5010 conversion.
2011047025-2/16/2011-RMP-require 9 digit zip code
2011115007 - 04/28/2011 - slc - add COMM.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').",27,34%,0x3938AFE
"If the Billing Tax Type field (2010AA REF01) is not present, the claim will reject.
If the Billing Tax Type field (2010AA REF01) contains a value other than EI or SY, the claim will reject.

09/11/2006-DMC-Coded for NPI number.
12/08/2006-RMP-2006339014 added SY for Medicare
05/11/2007-CLM-PR2007128009 Added Medicaid and Commercial
2008255012 - For Medicare only: can only allow LU, 0B, EI or SYexcept if the 2300 REF01 = P4 and REF02 = 31 (VA MRA PROJECT CLAIM).
12/18/2008-RMP-only EI and SY are valid for 5010
2010316003-11/23/2010-DMC-Revised per Medicare 5010 effort.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTM02 (Claim Received Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,28,24%,0x3939388
"If the Billing Tax Id Type (2010AA REF01) is present, the Billing Tax ID (2010AA REF02) must be present or the claim will reject. 
If this is a dakota claim and the LOB is MediPak Advantage, the Billing Tax Id (2010AA REF02) will not reject.
If the Billing Tax Id Type (2010AA REF01) is present, and this is a Medicare claim, and the Billing Tax Id Qualifier (2010AA REF01) is ""EI"", the Billing Tax ID must be 9 digits in this format: '999999999' '99-9999999' '99 9999999', or the claim will reject.

2009306004-DMC-Removed Dakota claims from edit.
2009335002-DMC-Returned TMG to edits for Dakota claims.
2010316003-11/23/2010-DMC-Revised per Medicare 5010 effort.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,29,41%,0x3938B78
"If this is a Dakota claim, and the LOB is not MPA, the claim will not reject.
If present, the Billing Provider Second ID Type Qualifier (2010AA REF01) must Be 0B or 1G.

09/11/2006-DMC-Coded for NPI number.
12/08/2006-RMP-2006339014 added SY for Medicare
05/11/2007-CLM-PR2007128009 Added Medicaid and Commercial
2008255012 - For Medicare only: can only allow LU, 0B, EI or SYexcept if the 2300 REF01 = P4 and REF02 = 31 (VA MRA PROJECT CLAIM).
12/19/2008-RMP-only 0B and 1G are valid for 5010

2009306004-DMC-Removed Dakota claims from edit.
2009335002-DMC-Returned TMG to edits for Dakota claims.
2010246026-09/15/2010-DMC-updated documentation.
2010316003-11/23/2010-DMC-Removed MPA from edit.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,30,44%,0x3938B78
"If this is a Dakota claim, and the LOB is not MPA, the claim will not reject.

If the Billing Provider Second Id (2010AA REF02) is present, the Billing Provider Second Id Qualifier (2010AA REF01) is required.
If the Billing Provider Second Id Qualifier (2010AA REF01) is present, the Billing Provider Second Id (2010AA REF02) is required.


2009306004-DMC-Removed Dakota claims from edit.
2009335002-DMC-Returned TMG to edits for Dakota claims.
2010246026-09/15/2010-DMC-updated documentation.",Element CR110 is used. It should not be used when segment CRC (Ambulance Certification Information) is not used with CRC02 as 'N' and CRCxx as '04'.,31,50%,0x3939318
"If the Provider Contact Name (2010AA PER02) is present, the Provider Contact Qual (2010AA PER03) is required, cannot exceed 60 characters, and cannot be the same as the Submitter Contact Name (1000A PER02).  
The Provider Contact Name cannot contain characters other than ""0-9,a-z,A-Z,'-',' ',',','.','(',')','/','#','!','@','$','%','^','&','+','=','_','\\','|',';','<','?','{','}','\[','\]','\''"".
Only the First Provider Contact Name (2010AA PER02) is allowed.

2010316003-11/23/2010-DMC-Revised per Medicare 5010 effort.
2011124003 - 05/04/2011 - slc - Adjusted edit to meet Medicare & IG requirements
2011334013 - 11/30/2011 - clm - Added Medicaid and Commercial

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PER (Billing Provider Contact Information) is used. It is not expected to be used when it provides the same information as segment PER in loop 1000A. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was ,32,31%,0x3938B79
"If the Provider Contact Name (2010AA PER02) is present, the following edits are active:
1. The Contact Number Qualifier (2010AA PER03) must be present or the claim will reject.
2. The Contact Number (2010AA PER04) must be present or the claim will reject.
3. If the Contact Number Qualifier (2010AA PER03) does not contain either EM, TE, or FX, the claim will reject.

2010316003-11/24/2010-DMC-Revised per Medicare 5010 effort.
2011115007 - 04/28/2011 - slc - add COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},33,29%,0x3938B52
"If the Billing Provider Contact Number (2010AA PER04) is present, and the Billing Provider Contact 1 Qualifier is ""TE"" or ""FX"", and if the Billing Provider Contact Number (2010AA PER04) is not numeric and ten digits in length, the claim will reject.

If present, and the Billing Provider Contact Number (2010AA PER04) is more than 256 characters in length, the claim will reject.

2010326002-11/30/2010-DMC-Revised per Medicare 5010 effort.
2012009032 - 01/10/2012 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,34,46%,0x3938B78
"If the Contact Qualifier (2010AA PER05) is present, the Contact Number (2010AA PER06) is required.
If the Contact Number (2010AA PER06) is present, the Contact Number Qualifier (2010AA PER05) is required.
If the Contact Qualifier (2010AA PER05) is present, and it doesn’t contain TE,EX,EM, or FX, the claim will reject.
If the Contact Qualifier (2010AA PER05) is present and contains “EX” (telephone extension), the previous number must be a telephone or the claim will reject.

2010316003-11/22/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM & ARCAID

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},35,38%,0x3938B52
"If the Billing Provider Contact Number (2010AA PER04) is present, and the Billing Provider Contact 1 Qualifier is ""TE"" or ""FX"", and if the Billing Provider Contact Number (2010AA PER04) is not numeric and ten digits in length, the claim will reject.

If present, and the Billing Provider Contact Number (2010AA PER04) is more than 256 characters in length, the claim will reject.

2010344007-12/10/2010-DMC-Revised per Medicare 5010 effort.
2012009032 - 01/10/2012 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,36,46%,0x3938B78
"If the Contact Qualifier (2010AA PER07) is present, the Contact Number (2010AA PER08) is required.
If the Contact Number (2010AA PER08) is present, the Contact Number Qualifier (2010AA PER07) is required.
If the Contact Qualifier (2010AA PER07) is present, and it doesn’t contain TE,EX,EM, or FX, the claim will reject.
If the Contact Qualifier (2010AA PER07) is present and contains “EX” (telephone extension), the previous number must be a telephone or the claim will reject.

2010326002-11/30/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/28/2011 - slc - add COMM & ARCAID
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment PER (Property and Casualty Subscriber Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br},37,38%,0x3938B52
