Event ID,,CompareVal,In_4010,Event Description,SNIP Level,Severity,Transaction Version,Transaction ID,ID,UPath,Name,Removed in 5010 Errata,#
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Submitter is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""1000A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4289
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Billing Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.d,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000A"")/Loop(ID=""2010AA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4315
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Subscriber is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br},2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2010BA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4422
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Patient is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{ta,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2010CA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4498
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Referring Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4820
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310B"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4830
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Supervising Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.r,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310D"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4874
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Other Insured is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2320"")/Loop(ID=""2330A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,4987
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,5226
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Supervising Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.r,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420D"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,5280
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Ordering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420E"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,5296
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Referring Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,2,Warning,005010X222,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420F"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,5347
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Submitter is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '1000A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,5481
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Subscriber is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br},2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000B')[1]/Loop(ID = '2010BA')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,5596
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Patient is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec.dc]{br}{ta,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2010CA')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,5659
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Attending Provider is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2310A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6403
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Operating Physician is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.re,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2310B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6413
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Other Operating Physician is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2310C')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6423
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2310D')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6433
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Referring Provider is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2310F')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6466
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Other Insured is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2320')[1]/Loop(ID = '2330A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6568
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Operating Physician is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2400')[1]/Loop(ID = '2420A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6736
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Other Operating Physician is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2400')[1]/Loop(ID = '2420B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6750
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2400')[1]/Loop(ID = '2420C')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6764
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Referring Provider is a person (NM102='1').,2,Warning,005010X223A1,837,NM104,Transaction(ID = '837')[1]/Loop(ID = '2000C')[1]/Loop(ID = '2300')[1]/Loop(ID = '2400')[1]/Loop(ID = '2420D')[1]/Segment(ID = 'NM1')[1]/Element(ID = '1036')[1],Name First,,6779
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Submitter is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""1000A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,6887
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Billing Provider is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000A"")/Loop(ID=""2010AA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,6916
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Subscriber is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2010BA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7015
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Patient is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2010CA"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7078
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Referring Provider is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7188
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310B"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7200
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Assistant Surgeon is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310D"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7236
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Supervising Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.r,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2310E"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7246
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Other Insured is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2320"")/Loop(ID=""2330A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7324
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420A"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7495
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Assistant Surgeon is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420B"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7512
3.94E+05,0x39392E1,39392E1_837,,Element NM104 is missing. It is recommended to be used when Supervising Provider is a person (NM102='1').,2,Warning,005010X224A1,837,NM104,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2300"")/Loop(ID=""2400"")/Loop(ID=""2420C"")/Segment(ID=""NM1"")/Element(ID=""1036"")",Name First,,7526
3.94E+05,0x39393E1,39393E1_270,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X279,270,NM108,Transaction(ID = '270')[1]/Loop(ID = '2000A')[1]/Loop(ID = '2100A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,15
3.94E+05,0x39393E1,39393E1_270,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X279,270,NM108,Transaction(ID = '270')[1]/Loop(ID = '2000B')[1]/Loop(ID = '2100B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,36
3.94E+05,0x39393E1,39393E1_270,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X279,270,NM108,Transaction(ID = '270')[1]/Loop(ID = '2000B')[1]/Loop(ID = '2100B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,37
3.94E+05,0x39393E1,39393E1_276,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X212,276,NM108,"Transaction/Loop(ID=""2000D"")/Loop(ID=""2100D"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1075
3.94E+05,0x39393E1,39393E1_277,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X212,277,NM108,"Transaction/Loop(ID=""2000D"")/Loop(ID=""2100D"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1311
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000A"")/Loop(ID=""2010A"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1592
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000A"")/Loop(ID=""2010A"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1593
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2010B"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1611
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2010B"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1615
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000E"")/Loop(ID=""2010EA"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1983
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000E"")/Loop(ID=""2010EA"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,1984
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108  is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000F"")/Loop(ID=""2010F"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,2218
3.94E+05,0x39393E1,39393E1_278 Req,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not ' 2'.,2,Error,005010X217,278 Req,NM108,"Transaction/Loop(ID=""2000F"")/Loop(ID=""2010F"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,2220
3.94E+05,0x39393E1,39393E1_278 Res,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000A')[1]/Loop(ID = '2010A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2285
393930,0x393930,393930_278 Res,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000A')[1]/Loop(ID = '2010A')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2286
3.94E+05,0x39393E1,39393E1_278 Res,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000B')[1]/Loop(ID = '2010B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2322
3.94E+05,0x39393E1,39393E1_278 Res,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000B')[1]/Loop(ID = '2010B')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2323
3.94E+05,0x39393E1,39393E1_278 Res,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000E')[1]/Loop(ID = '2010EA')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2560
3.94E+05,0x39393E1,39393E1_278 Res,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000E')[1]/Loop(ID = '2010EA')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2564
3.94E+05,0x39393E1,39393E1_278 Res,,"Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not ' 2'.
Value of element NM108  is incorrect. Value '34' is not expected to be used when NM102 is not '1'.",2,Error,005010X217,278 Res,NM108,Transaction(ID = '278')[1]/Loop(ID = '2000F')[1]/Loop(ID = '2010FA')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,2865
3.94E+05,0x39393E1,39393E1_834,,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X220,834,NM108,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100D')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,3340
3.94E+05,0x39393E1,39393E1_834,,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X220,834,NM108,Transaction(ID = '834')[1]/Loop(ID = '2000')[1]/Loop(ID = '2100D')[1]/Segment(ID = 'NM1')[1]/Element(ID = '66')[1],Identification Code Qualifier,,3341
3.94E+05,0x39393E1,39393E1_271,Found in 4010,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X279,271,NM108,"Transaction/Loop(ID=""2000A"")/Loop(ID=""2100A"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,446
3.94E+05,0x39393E1,39393E1_271,Found in 4010,Value of element NM108 is incorrect. Value '24' is not expected to be used when NM102 is not '2'.,2,Error,005010X279,271,NM108,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2100B"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,484
3.94E+05,0x39393E1,39393E1_271,Found in 4010,Value of element NM108 is incorrect. Value '34' is not expected to be used when NM102 is not '1'.,2,Error,005010X279,271,NM108,"Transaction/Loop(ID=""2000B"")/Loop(ID=""2100B"")/Segment(ID=""NM1"")/Element(ID=""66"")",Identification Code Qualifier,,485
3.94E+05,0x39393E1,39393E1_271,Found in 4010,"Value of element AAA04 is incorrect. Value 'R' is not expected to be used when AAA02 is not '42'.
Value of element AAA04 is incorrect. Value 'Y' is not expected to be used when AAA02 is not '42'.",2,Error,005010X279,271,AAA04,"Transaction/Loop(ID=""2000C"")/Loop(ID=""2100C"")/Segment(ID=""AAA"")/Element(ID=""889"")",Follow-up Action Code,,553
